NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
KC,14,2,0,0.875,473,362,111,6 - 2 - 0,8 - 0 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,4 - 0 - 0,1L,4 - 1 - 0
BUF,13,3,0,0.813,501,375,126,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 1 - 0,6W,5 - 0 - 0
GB,13,3,0,0.813,509,369,140,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,6W,5 - 0 - 0
NO,12,4,0,0.750,482,337,145,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,2 - 2 - 0,2W,3 - 2 - 0
PIT,12,4,0,0.750,416,312,104,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,1L,1 - 4 - 0
SEA,12,4,0,0.750,459,371,88,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,4W,4 - 1 - 0
BAL,11,5,0,0.688,468,303,165,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,5W,5 - 0 - 0
CLE,11,5,0,0.688,408,419,-11,6 - 2 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,4 - 0 - 0,1W,3 - 2 - 0
IND,11,5,0,0.688,451,362,89,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,1W,4 - 1 - 0
TB,11,5,0,0.688,492,355,137,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,4W,4 - 1 - 0
TEN,11,5,0,0.688,491,439,52,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,1W,3 - 2 - 0
LAR,10,6,0,0.625,372,296,76,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.500,9 - 3 - 0,0.750,1 - 3 - 0,1W,3 - 2 - 0
MIA,10,6,0,0.625,404,338,66,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0
ARI,8,8,0,0.500,410,367,43,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,2 - 2 - 0,2L,2 - 3 - 0
CHI,8,8,0,0.500,372,370,2,3 - 5 - 0,5 - 3 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,2 - 2 - 0,1L,3 - 2 - 0
LV,8,8,0,0.500,434,478,-44,2 - 6 - 0,6 - 2 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 2 - 0,1W,2 - 3 - 0
LAC,7,9,0,0.438,384,426,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,4W,4 - 1 - 0
MIN,7,9,0,0.438,430,475,-45,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,1W,2 - 3 - 0
NE,7,9,0,0.438,326,353,-27,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,1W,2 - 3 - 0
WAS,7,9,0,0.438,335,329,6,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,1W,3 - 2 - 0
DAL,6,10,0,0.375,395,473,-78,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,1L,3 - 2 - 0
NYG,6,10,0,0.375,280,357,-77,3 - 5 - 0,3 - 5 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,1 - 3 - 0,1W,2 - 3 - 0
SF,6,10,0,0.375,376,390,-14,1 - 7 - 0,5 - 3 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,2 - 2 - 0,1L,1 - 4 - 0
CAR,5,11,0,0.313,350,402,-52,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,1L,1 - 4 - 0
DEN,5,11,0,0.313,323,446,-123,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,3L,1 - 4 - 0
DET,5,11,0,0.313,377,519,-142,1 - 7 - 0,4 - 4 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0
CIN,4,11,1,0.281,311,424,-113,3 - 5 - 0,1 - 6 - 1,1 - 5 - 0,0.167,4 - 8 - 0,0.333,0 - 3 - 1,1L,2 - 3 - 0
PHI,4,11,1,0.281,334,418,-84,3 - 4 - 1,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,0 - 3 - 1,3L,1 - 4 - 0
ATL,4,12,0,0.250,396,414,-18,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,5L,0 - 5 - 0
HOU,4,12,0,0.250,384,464,-80,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,5L,0 - 5 - 0
NYJ,2,14,0,0.125,243,457,-214,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,1L,2 - 3 - 0
JAX,1,15,0,0.063,306,492,-186,1 - 7 - 0,0 - 8 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,0 - 4 - 0,15L,0 - 5 - 0
